,Bigram Frequency,Bigram Frequency with Position,Mean Edit Distance,Transition Probability,Transition Log Probability
Bigram Frequency,1.0,0.7279197522653047,-0.6229080675052214,0.6938955116589954,-0.6938955116589954
Bigram Frequency with Position,0.7279197522653047,1.0,-0.7996520959959863,0.7289808831565174,-0.7289808831565174
Mean Edit Distance,-0.6229080675052214,-0.7996520959959863,1.0,-0.6568504418418476,0.6568504418418476
Transition Probability,0.6938955116589954,0.7289808831565174,-0.6568504418418476,1.0,-1.0
Transition Log Probability,-0.6938955116589954,-0.7289808831565174,0.6568504418418476,-1.0,1.0
