,Bigram Frequency,Bigram Average Frequency,Bigram Frequency with Position,Bigram Average Frequency with Position,Bigram Independent Probabilities,Mean Edit Distance,Transition Probability,Average Transition Probability,Transition Log Probability
19,2276.0,569.0,482,120.5,1.3378863851768549e-09,5.4623,4.5683618895537084e-07,0.0877593537831601,21.06181972375933
20,5150.0,735.7142857142857,965,137.85714285714286,2.0506810117859223e-18,6.779,3.201822810952167e-11,0.0682233487066828,34.862315572519485
21,2672.0,381.7142857142857,274,39.142857142857146,8.18405941271048e-18,7.263,4.3458205898509835e-12,0.054646648616324706,37.7435085222228
22,3691.0,615.1666666666666,820,136.66666666666666,7.229717893129793e-15,6.2101,2.0483545966406526e-10,0.06150715546843384,32.18481546276797
23,1472.0,245.33333333333334,371,61.833333333333336,1.237619070384737e-16,6.6328,2.1370361394619692e-11,0.04636886690027262,35.44559773811155
24,2308.0,288.5,424,53.0,6.804412261719513e-22,8.1625,7.516537275055096e-14,0.048708166458062044,43.59692513548704
25,1278.0,319.5,214,53.5,1.0211398014850021e-10,5.9476,5.88509058957904e-08,0.0623675751078549,24.018360136166436
26,1715.0,343.0,338,67.6,7.59757079372239e-13,5.932,6.57870797244215e-09,0.06778958014019157,27.179548580782438
27,2419.0,403.1666666666667,212,35.333333333333336,3.125963827810987e-16,6.5298,9.568619258537428e-12,0.04193784973412503,36.604826378260434
28,3320.0,415.0,662,82.75,1.004946952124943e-20,7.2458,5.262987029001583e-13,0.05917295121176952,40.789183394323146
29,3974.0,662.3333333333334,836,139.33333333333334,8.866704375059972e-14,6.2856,2.0599542307214713e-08,0.10945414085382765,25.532812475983956
30,1481.0,370.25,107,26.75,5.40735945763241e-11,5.7408,5.5569390288117365e-09,0.04208615709557683,27.42306244297868
31,2832.0,472.0,841,140.16666666666666,6.607531620732379e-16,6.6078,3.8157661726169245e-09,0.08865387421085909,27.965380087239744
32,1090.0,218.0,380,76.0,4.52810248372918e-14,6.1938,2.2254747305303252e-10,0.041788846269317524,32.06516782927668
33,1790.0,255.71428571428572,278,39.714285714285715,2.4862576541566676e-19,7.3842,2.7306587589146887e-13,0.04018183024584066,41.73581619683317
34,4026.0,503.25,531,66.375,1.586005545513259e-19,7.8633,1.3585906605749133e-10,0.1031119173279945,32.77717010712849
35,4127.0,589.5714285714286,1089,155.57142857142858,2.3646906893440737e-16,7.0972,6.780996874975063e-10,0.09577559049161978,30.457783569189914
36,3333.0,476.14285714285717,908,129.71428571428572,1.3148482706182765e-17,7.1099,4.478806086163456e-10,0.09146190674863952,31.05616674407462
37,1897.0,379.4,502,100.4,3.27834929413157e-14,5.7679,5.204190164306987e-09,0.06555742392409333,27.51767917400393
38,2934.0,586.8,779,155.8,5.537540191660252e-12,5.8067,7.174143326353713e-08,0.09536647302757585,23.73261819108891
39,4050.0,675.0,947,157.83333333333334,3.192248373176286e-14,6.2925,3.124535392503044e-09,0.08646655995533357,28.253711171976022
40,3765.0,376.5,680,68.0,1.3212546238305689e-25,9.1958,1.187519119795327e-13,0.08373108474274273,42.937114491619
41,2750.0,550.0,777,155.4,1.0180544386788471e-12,5.8079,1.7191016758640536e-08,0.0777601995187725,25.793769883900804
42,2196.0,366.0,632,105.33333333333333,2.1532149102663297e-15,6.5053,8.610740796678352e-11,0.05519249977143713,33.43507168329103
43,1695.0,339.0,572,114.4,9.365516972841865e-14,6.0833,4.447471055520015e-10,0.0461334741972611,31.06629573251972
44,2915.0,485.8333333333333,363,60.5,3.4575692131204214e-15,6.4242,2.2696316129477987e-10,0.06230091448386566,32.036822798186876
45,1609.0,268.1666666666667,242,40.333333333333336,2.105260103086237e-17,6.6494,1.4713978055763768e-10,0.05901552337683704,32.66209360401838
46,1681.0,336.2,421,84.2,7.029241738510276e-13,5.94,3.5197732024174674e-08,0.08614228406860538,24.75994228770479
47,2917.0,486.1666666666667,320,53.333333333333336,1.33282970805809e-16,6.4776,1.2725732549095099e-10,0.057954257881453065,32.87153224231506
48,2876.0,479.3333333333333,525,87.5,5.375015691794967e-16,6.6509,5.850818031106738e-10,0.07012971498674657,30.670642599918686
49,3876.0,484.5,619,77.375,1.580828195650475e-19,7.7725,1.9974674011712044e-11,0.08512320559158332,35.54303708531482
50,2587.0,517.4,582,116.4,2.3545620887221905e-12,5.9296,5.841471786437335e-08,0.09260747445339204,24.029092850356744
51,3789.0,757.8,228,45.6,8.937697499484848e-13,5.9962,5.247394693870424e-10,0.04723649619253397,30.82767963945821
52,3264.0,466.2857142857143,777,111.0,5.683925910398272e-17,6.5825,2.8048346569578243e-10,0.08682731328651137,31.731365221397034
53,1148.0,191.33333333333334,394,65.66666666666667,3.6170584282826605e-17,6.7464,5.977538219728721e-11,0.052730913521188465,33.96165759435954
54,2632.0,658.0,456,114.0,5.35416225944183e-10,5.7357,1.2226585730136256e-08,0.0479973801556959,26.285403171087538
55,2985.0,298.5,525,52.5,7.877266361039782e-26,9.3329,1.4475890904739814e-14,0.07026198932419743,45.9733411882018
56,6003.0,600.3,731,73.1,2.585239028388004e-23,9.0595,1.6957447146870955e-12,0.1044992979281504,39.101218142436075
